word,translation,definition,example_usage
maiden,being or involving the first attempt or act of its kind.,"A young woman who has never been married.
","The maiden voyage of the ship was delayed by a storm.
"
maiden,少女,"A young woman who has never been married.
","The maiden voyage of the ship was delayed by a storm.
"
maim,残害,"To inflict serious and permanent injury on someone, typically involving the loss of a limb or the impairment of a limb's function.
","The landmine maimed the soldier, leaving him with a permanent leg injury.
"
majeure,不可抗力,"it's often used in the legal term ""force majeure,"" which refers to an event or circumstance beyond human control that prevents someone from fulfilling a contract.","The concert was canceled due to *force majeure*, as a hurricane hit the city.
"
maladaptive,适应不良,"Not adjusting well to a situation or environment; counterproductive to well-being or effective functioning.
","His maladaptive coping mechanisms, such as excessive drinking, only worsened his anxiety.
"
malady,弊病,"A disease or ailment.
","The doctor diagnosed the patient's persistent fatigue as a symptom of a more serious malady.
"
malaise,不适,"A general feeling of discomfort, illness, or unease, whose exact cause is difficult to identify.
","A general malaise settled over the office after the company announced the layoffs.
"
malaise,全身乏力,"a general feeling of discomfort, illness, or lack of well-being. It can also be used metaphorically to describe a general feeling of unease or dissatisfaction in a society or organization.","A general malaise settled over the town after the factory closed, a sense of unease and stagnation affecting everyone.
"
malapropism,飞白辞格,"the unintentional use of a word in place of a word with a similar sound, resulting in a nonsensical but often humorous utterance.","She used a classic malapropism, saying ""dance the flamingo"" instead of ""dance the flamenco.""
"
malfascence,渎职,"wrongdoing, especially by a public official.","The CEO's malfeasance, involving embezzlement and bribery, led to the company's bankruptcy.
"
malfeasance,渎职,"Wrongdoing, especially by a public official.
","The mayor's malfeasance in office, including embezzlement of city funds, led to his immediate resignation.
"
malice,恶意,"The intention or desire to do evil; ill will.
","The attacker showed pure malice in his attempt to destroy the artwork.
"
malign,誹謗,"To speak badly of someone or something, to defame or slander.  To represent as bad or evil; to speak ill of.
","The disgruntled employee tried to malign his former boss by spreading false rumors about his conduct.
"
malignant,恶性,"Something that is dangerous and likely to cause death or serious harm.  It can refer to a disease or a person's intentions.
","The biopsy revealed a malignant tumor.
"
malinger,装病的,"To pretend to be ill or injured in order to avoid work or duty.
","He called in sick to work, but his colleagues suspected he was simply malingering to avoid the deadline.
"
malleable,可塑性,"Able to be easily shaped or molded.
","The blacksmith hammered the malleable iron into the shape of a horseshoe.
"
malodorous,恶臭的,"Having a bad smell; foul-smelling.
","The malodorous garbage attracted a swarm of flies.
"
manacled,戴上手铐,"To have one's hands restrained, typically with chains or handcuffs.
","The prisoner, manacled and blindfolded, was led away.
"
manfully,男子气概地,"In a brave and resolute manner; with courage and strength.
","He manfully faced the daunting task of climbing the treacherous mountain.
"
manic glee,狂躁的欢乐,"A feeling of intense, unrestrained, and almost wild happiness and excitement.
","She shrieked with manic glee as she tore open the winning lottery ticket.
"
manifestation,表现,"The outward expression or concrete representation of an inner feeling, thought, or quality.  It can also refer to the process of making something appear or become a reality.
","Through years of dedicated practice and positive thinking, she saw the manifestation of her dream career.
"
mantle,地幔,"A covering or cloak, often symbolic of authority or power.  It can also refer to a layer of the Earth.
","The queen placed the crown upon the king's mantle.
"
maquiladora,边境加工,"A factory in Mexico that assembles imported materials and then exports the finished product, often taking advantage of lower labor costs and relaxed environmental regulations.
","The influx of foreign investment led to a boom in maquiladora construction along the US-Mexico border.
"
mar,损伤,"A groove or line made by cutting or wearing away a surface.
","The sailor's hat was marred by a large, unsightly stain.
"
marauders,乱兵,"Groups of people who roam and raid, often violently, in search of plunder.
","The marauders, a band of ruthless pirates, sacked the coastal village, leaving only ashes in their wake.
"
marionette,木偶,"A small figure or puppet manipulated from above by strings or wires.
","The puppeteer's nimble fingers made the marionette dance across the stage.
"
marksmanship,枪法,"The skill and accuracy in shooting a firearm or other projectile weapon.
","His exceptional marksmanship won him the shooting competition.
"
marquee,帐篷,"A prominent, often decorative, structure, usually over an entrance, used to display a name or announcement.  It's often brightly lit and eye-catching.
","The marquee outside the theater announced the premiere of the new superhero movie.
"
marred,损坏的,"Damaged or spoiled the appearance or quality of something.
","The beautiful painting was marred by a large scratch.
"
martyr,烈士,"A person who willingly suffers death or intense suffering for a cause, principle, or belief.
","Joan of Arc was a martyr for her beliefs.
"
martyrdom,殉难,"The act of sacrificing one's life or suffering greatly for a cause, belief, or principle, often resulting in being revered for one's sacrifice.
","Her martyrdom for the cause inspired others to join the movement.
"
matriculate,录取,"To be formally enrolled or admitted as a student at a college or university.
","After graduating high school, she matriculated at the University of California, Berkeley.
"
matryoshka,套娃,"A set of wooden dolls of decreasing size placed one inside the other.
","The children delighted in unpacking the intricate matryoshka, revealing ever-smaller dolls nested within.
"
